Device,Status,Start Datetime,End Datetime,latitude,longitude,Length (mi),Top speed (mph),Avg Speed (mph),Engine Idle in Minutes,Duration in Minutes
#1,Stopped,04/30/2024 00:09,04/30/2024 03:56,35.860267,-78.820741,,,,1.1,283.46666666666664
#1,Moving,04/30/2024 03:56,04/30/2024 04:08,,,4.8,54.0,23.5,,12.0
#1,Stopped,04/30/2024 04:08,04/30/2024 04:26,35.860554,-78.821483,,,,18.133333333333333,18.133333333333333
#1,Moving,04/30/2024 04:26,04/30/2024 04:39,,,4.8,60.8,20.8,,13.666666666666666
#1,Stopped,04/30/2024 04:39,04/30/2024 04:53,35.860545,-78.821482,,,,13.4,13.4
#1,Moving,04/30/2024 04:53,04/30/2024 04:53,,,0.0,10.8,0.7,,0.5166666666666667
#1,Stopped,04/30/2024 04:53,04/30/2024 05:03,35.860275,-78.820834,,,,9.566666666666666,9.566666666666666
#1,Moving,04/30/2024 05:03,04/30/2024 05:15,,,4.7,55.3,24.1,,11.75
#1,Stopped,04/30/2024 05:15,04/30/2024 05:26,35.860501,-78.821449,,,,11.333333333333334,11.333333333333334
#1,Moving,04/30/2024 05:26,04/30/2024 05:26,,,0.0,8.9,5.7,,0.31666666666666665
#1,Stopped,04/30/2024 05:26,04/30/2024 06:02,35.860245,-78.820816,,,,25.266666666666666,36.18333333333333
#1,Moving,04/30/2024 06:02,04/30/2024 06:29,,,9.4,68.8,20.7,,27.033333333333335
#1,Stopped,04/30/2024 06:29,04/30/2024 07:40,35.860295,-78.820825,,,,7.033333333333333,70.25
#1,Moving,04/30/2024 07:40,04/30/2024 07:40,,,0.0,3.8,3.1,,0.3
#1,Stopped,04/30/2024 07:40,04/30/2024 08:19,35.860437,-78.820844,,,,8.766666666666667,38.53333333333333
#1,Moving,04/30/2024 08:19,04/30/2024 08:38,,,8.9,54.3,27.7,,19.233333333333334
#1,Stopped,04/30/2024 08:38,04/30/2024 10:37,35.860299,-78.820849,,,,28.366666666666667,118.9
#1,Moving,04/30/2024 10:37,04/30/2024 10:50,,,4.7,58.6,20.4,,13.683333333333334
#1,Stopped,04/30/2024 10:50,04/30/2024 11:38,35.860258,-78.820827,,,,14.533333333333333,47.56666666666667
#1,Moving,04/30/2024 11:38,04/30/2024 11:47,,,4.7,60.4,30.4,,9.166666666666666
#1,Stopped,04/30/2024 11:47,04/30/2024 12:48,35.860348,-78.820901,,,,1.3333333333333333,60.71666666666667
#1,Moving,04/30/2024 12:48,04/30/2024 12:58,,,4.8,57.8,28.9,,9.85
#1,Stopped,04/30/2024 12:58,04/30/2024 14:00,35.86027,-78.820818,,,,1.7333333333333334,62.61666666666667
#1,Moving,04/30/2024 14:00,04/30/2024 14:10,,,4.7,70.3,29.7,,9.383333333333333
#1,Stopped,04/30/2024 14:10,04/30/2024 14:51,35.860329,-78.820885,,,,2.5,41.483333333333334
#1,Moving,04/30/2024 14:51,04/30/2024 15:07,,,4.9,46.1,18.3,,15.933333333333334
